drug	name	score
DB12466	Favipiravir	1.036331
DB13609	Arbidol	0.9525299999999999
DB01601	Lopinavir	0.587968
DB00503	Ritonavir	0.557783
DB14126	Tenofovir	0.464135
DB00709	Lamivudine	0.439725
DB14761	Remdesivir	0.425016
DB00558	Zanamivir	0.376357
DB01611	Hydroxychloroquine	0.286735
DB00207	Azithromycin	0.215548
DB01118	Amiodarone	0.205389
DB09274	Artesunate	0.196554
DB00608	Chloroquine	0.17704
DB04900	Thymalfasin	0.133665
DB12151	Brincidofovir	0.1261
DB00877	Rapamycin	0.12322899999999999
DB00507	Nitazoxanide	0.11511099999999999
DB01268	Sunitinib	0.099763
DB00530	Erlotinib	0.076972
DB00577	Valacyclovir	0.076802
	CYT107	0.075799
DB00220	Nelfinavir	0.063828
DB01043	Memantine	0.06160499999999999
	BCX4430	0.061564999999999995
DB12531	Lobucavir	0.048722
DB06149	Teicoplanin	0.027699
DB12598	Nafamostat	0.027670999999999998
DB00091	Cyclosporine	0.023597
DB00973	Ezetimibe	0.02119
DB00675	Tamoxifen	0.020705
DB01030	Topotecan	0.019873
	Mycophenolic	0.014325
DB00928	Azacitidine	0.012309
	Diphyllin	0.012213
	Silvestrol	0.011948
DB08880	Teriflunomide	0.011833
DB00661	Verapamil	0.011639
	ABT-263	0.011453
DB03523	Brequinar	0.007745999999999999
DB13393	Emetine	0.007359999999999999
	Cepharanthine	0.006908
DB15584	Luteolin	0.0065439999999999995
	Genistin	0.006474
DB13729	Camostat	0.006208
DB06692	Aprotinin	0.0061920000000000005
DB08911	Trametinib	0.0058130000000000005
DB00481	Raloxifene	0.005605
DB00227	Lovastatin	0.004772
DB06803	Niclosamide	0.004765999999999999
DB06219	Dalbavancin	0.004765
