drug	name	score
DB12010	Fostamatinib	404.298172024187
DB09130	Copper	200.33099176468002
DB01593	Zinc	145.564681892766
DB14533	Zinc chloride	144.146139723499
DB14487	Zinc acetate	144.146139723499
DB00157	NADH	125.612977579464
DB00142	Glutamic acid	48.29457144708779
DB01254	Dasatinib	45.181617476351
DB02709	Resveratrol	45.0694887951328
DB11093	Calcium Citrate	38.4058499117232
DB14481	Calcium phosphate dihydrate	38.4058499117232
DB11348	Calcium Phosphate	38.4058499117232
DB00945	Acetylsalicylic acid	35.8833554832323
DB00114	Pyridoxal phosphate	34.8689479540991
DB01169	Arsenic trioxide	33.9267808378683
DB08901	Ponatinib	27.9383514618464
DB09061	Cannabidiol	27.5094844533707
DB15035	Zanubrutinib	27.2661546947149
DB08896	Regorafenib	27.1977325963965
DB03147	Flavin adenine dinucleotide	25.2757172311088
DB06616	Bosutinib	24.8981012763981
DB00675	Tamoxifen	23.7585788491718
DB00852	Pseudoephedrine	23.3835933499819
DB00143	Glutathione	23.346437409366604
DB00898	Ethanol	23.324855420634602
DB01238	Aripiprazole	23.228490180202197
DB09079	Nintedanib	21.3216386522591
DB00396	Progesterone	20.9231110008151
DB12267	Brigatinib	20.7611314822069
DB01373	Calcium	20.365895057590198
DB01136	Carvedilol	20.319647613195897
DB00139	Succinic acid	20.3010053968881
DB00255	Diethylstilbestrol	20.0332692764517
DB04272	Citric acid	19.6095252412005
DB00128	Aspartic acid	19.2327579282532
DB10772	Foreskin keratinocyte (neonatal)	18.5042446738582
DB00126	Ascorbic acid	18.093746237252603
DB00025	Antihemophilic factor, human recombinant	18.0545812672305
DB13999	Moroctocog alfa	18.0545812672305
DB13998	Lonoctocog alfa	18.0545812672305
DB01708	Prasterone	17.9422654642115
DB00145	Glycine	17.4375109540957
DB00477	Chlorpromazine	17.1534409132069
DB00321	Amitriptyline	16.995531628808997
DB00031	Tenecteplase	16.9037914408219
DB00408	Loxapine	16.6795163421069
DB00131	Adenosine phosphate	16.6650004768579
DB00570	Vinblastine	16.6057060218569
DB02546	Vorinostat	16.6007273439569
DB00071	Insulin pork	16.3736785373453
DB01064	Isoprenaline	16.303655205436197
DB00783	Estradiol	16.1634818442969
DB13956	Estradiol valerate	16.1634818442969
DB13955	Estradiol dienanthate	16.1634818442969
DB13954	Estradiol cypionate	16.1634818442969
DB13953	Estradiol benzoate	16.1634818442969
DB13952	Estradiol acetate	16.1634818442969
DB00277	Theophylline	15.8632009197459
DB06176	Romidepsin	15.709310211408802
DB00458	Imipramine	15.394487080292699
DB00248	Cabergoline	15.279623538623099
DB00363	Clozapine	15.170728459841401
DB04855	Dronedarone	15.076352076684199
DB00398	Sorafenib	14.823680622007
DB06216	Asenapine	14.648343015092198
DB00655	Estrone	14.5699989965247
DB00201	Caffeine	14.3212769675019
DB14001	alpha-Tocopherol succinate	14.3148124411468
DB14002	D-alpha-Tocopherol acetate	14.3148124411468
DB01428	Oxybenzone	14.263619600106098
DB11219	Enzacamene	14.263619600106098
DB11619	Gestrinone	14.2582504017906
DB00367	Levonorgestrel	14.0569889293963
DB00163	Vitamin E	13.975721855523501
DB01065	Melatonin	13.968069778350198
DB09213	Dexibuprofen	13.951381638857802
DB00072	Trastuzumab	13.882306956998198
DB14185	Aripiprazole lauroxil	13.746576344053901
DB00246	Ziprasidone	13.746576344053901
DB00755	Tretinoin	13.6618190880721
DB09078	Lenvatinib	13.650408473542301
DB00543	Amoxapine	13.569202952981902
DB00619	Imatinib	13.5083436882768
DB08818	Hyaluronic acid	13.472123234609
DB10770	Foreskin fibroblast (neonatal)	13.445090435002598
DB14490	Ferrous ascorbate	13.422149919702699
DB14501	Ferrous glycine sulfate	13.422149919702699
DB14491	Ferrous fumarate	13.422149919702699
DB14489	Ferrous succinate	13.422149919702699
DB14488	Ferrous gluconate	13.422149919702699
DB01592	Iron	13.422149919702699
DB02325	Isopropyl alcohol	13.2441782506297
DB12147	Erdafitinib	13.1614529705483
DB00313	Valproic acid	13.1264099748377
DB01224	Quetiapine	13.106976217536
DB09086	Eugenol	13.024763054089199
DB00421	Spironolactone	12.959257150864302
DB00502	Haloperidol	12.7324268407238
DB06151	Acetylcysteine	12.5568846612505
DB01151	Desipramine	12.5541884011895
